page_path_2,date_month,users,pageviews
/city-owned-properties-details/,3,10,11
/city-owned-properties-details/,4,19,22
/city-owned-properties-details/,5,5,6
/city-owned-properties-details/,6,24,25
/city-owned-properties-details/,7,31,37
/city-owned-properties-details/,8,29,32
/city-owned-properties-details/,9,22,24
/city-owned-properties-details/,10,23,25
/city-owned-properties-details/,11,25,31
/city-owned-properties-details/,12,10,12
/city-owned-properties-leases/,1,5,5
/city-owned-properties-leases/,2,19,22
/city-owned-properties-leases/,3,7,9
/city-owned-properties-leases/,4,11,15
/city-owned-properties-leases/,5,3,3
/city-owned-properties-leases/,6,9,13
/city-owned-properties-leases/,7,21,22
/city-owned-properties-leases/,8,15,19
/city-owned-properties-leases/,9,13,14
/city-owned-properties-leases/,10,14,16
/city-owned-properties-leases/,11,10,14
/city-owned-properties-leases/,12,12,19
/city-owned-properties-parcels/,1,17,19
/city-owned-properties-parcels/,2,18,22
/city-owned-properties-parcels/,3,17,20
/city-owned-properties-parcels/,4,17,19
/city-owned-properties-parcels/,5,15,21
/city-owned-properties-parcels/,6,24,26
/city-owned-properties-parcels/,7,32,37
/city-owned-properties-parcels/,8,21,26
/city-owned-properties-parcels/,9,26,29
/city-owned-properties-parcels/,10,25,26
/city-owned-properties-parcels/,11,38,46
/city-owned-properties-parcels/,12,17,23
/code-enforcement-violations/,1,20,20
/code-enforcement-violations/,2,17,19
/code-enforcement-violations/,3,9,11
/code-enforcement-violations/,4,28,37
/code-enforcement-violations/,5,13,16
/code-enforcement-violations/,6,18,23
/code-enforcement-violations/,7,31,33
/code-enforcement-violations/,8,47,60
/code-enforcement-violations/,9,60,79
/code-enforcement-violations/,10,72,99
/code-enforcement-violations/,11,59,73
/code-enforcement-violations/,12,58,76
/community-block-grants/,1,4,5
/community-block-grants/,2,21,30
/community-block-grants/,3,11,13
/community-block-grants/,4,15,16
/community-block-grants/,5,12,18
/community-block-grants/,6,12,17
/community-block-grants/,7,14,17
/community-block-grants/,8,11,25
/community-block-grants/,9,8,12
/community-block-grants/,10,18,31
/community-block-grants/,11,22,32
/community-block-grants/,12,21,28
/community-planning-district-boundaries/,1,13,16
/community-planning-district-boundaries/,2,13,16
/community-planning-district-boundaries/,3,16,22
/community-planning-district-boundaries/,4,13,17
/community-planning-district-boundaries/,5,8,8
/community-planning-district-boundaries/,6,19,23
/community-planning-district-boundaries/,7,15,17
/community-planning-district-boundaries/,8,17,23
/community-planning-district-boundaries/,9,13,13
/community-planning-district-boundaries/,10,10,10
/community-planning-district-boundaries/,11,14,17
/community-planning-district-boundaries/,12,11,12
/complaint-type-codes/,1,1,1
/complaint-type-codes/,2,4,4
/complaint-type-codes/,3,1,1
/complaint-type-codes/,4,6,7
/complaint-type-codes/,5,6,6
/complaint-type-codes/,6,11,11
/complaint-type-codes/,7,4,5
/complaint-type-codes/,8,9,9
/complaint-type-codes/,9,9,9
/complaint-type-codes/,10,10,10
/complaint-type-codes/,11,2,2
/complaint-type-codes/,12,4,4
/data-inventory/,1,21,22
/data-inventory/,2,26,30
/data-inventory/,3,36,40
/data-inventory/,4,34,44
/data-inventory/,5,23,24
/data-inventory/,6,48,63
/data-inventory/,7,53,58
/data-inventory/,8,60,77
/data-inventory/,9,53,59
/data-inventory/,10,67,82
/data-inventory/,11,49,53
/data-inventory/,12,38,45
/drinking-water-sample-sites/,1,8,8
/drinking-water-sample-sites/,2,19,24
/drinking-water-sample-sites/,3,6,6
/drinking-water-sample-sites/,4,7,7
/drinking-water-sample-sites/,5,6,6
/drinking-water-sample-sites/,6,22,32
/drinking-water-sample-sites/,7,9,9
/drinking-water-sample-sites/,8,17,19
/drinking-water-sample-sites/,9,15,19
/drinking-water-sample-sites/,10,15,18
/drinking-water-sample-sites/,11,25,33
/drinking-water-sample-sites/,12,11,11
/enterprise-system-information/,1,2,3
/enterprise-system-information/,2,5,5
/enterprise-system-information/,3,3,4
/enterprise-system-information/,4,5,5
/enterprise-system-information/,5,6,6
/enterprise-system-information/,6,13,15
/enterprise-system-information/,7,19,19
/enterprise-system-information/,8,11,11
/enterprise-system-information/,9,12,13
/enterprise-system-information/,10,8,8
/enterprise-system-information/,11,11,12
/enterprise-system-information/,12,4,5
/facilities-assessment/,1,10,12
/facilities-assessment/,2,6,7
/facilities-assessment/,3,4,4
/facilities-assessment/,4,9,12
/facilities-assessment/,5,2,2
/facilities-assessment/,6,2,2
/facilities-assessment/,7,8,11
/facilities-assessment/,8,9,10
/facilities-assessment/,9,3,4
/facilities-assessment/,10,8,9
/facilities-assessment/,11,13,15
/facilities-assessment/,12,5,5
/financial-support-candidates-and-ballot-measures-election/,1,2,4
/financial-support-candidates-and-ballot-measures-election/,2,3,6
/financial-support-candidates-and-ballot-measures-election/,3,5,7
/financial-support-candidates-and-ballot-measures-election/,4,5,11
/financial-support-candidates-and-ballot-measures-election/,5,1,1
/financial-support-candidates-and-ballot-measures-election/,6,6,7
/financial-support-candidates-and-ballot-measures-election/,7,5,5
/financial-support-candidates-and-ballot-measures-election/,8,15,26
/financial-support-candidates-and-ballot-measures-election/,9,5,7
/financial-support-candidates-and-ballot-measures-election/,10,10,12
/financial-support-candidates-and-ballot-measures-election/,11,9,10
/financial-support-candidates-and-ballot-measures-election/,12,7,7
/fire-battalion-districts/,1,3,4
/fire-battalion-districts/,2,6,8
/fire-battalion-districts/,3,2,2
/fire-battalion-districts/,4,6,7
/fire-battalion-districts/,5,1,1
/fire-battalion-districts/,6,3,4
/fire-battalion-districts/,7,3,4
/fire-battalion-districts/,8,2,2
/fire-battalion-districts/,9,4,4
/fire-battalion-districts/,10,2,3
/fire-battalion-districts/,11,7,7
/fire-battalion-districts/,12,6,9
/fire-incidents/,1,47,55
/fire-incidents/,2,61,72
/fire-incidents/,3,42,48
/fire-incidents/,4,60,82
/fire-incidents/,5,54,62
/fire-incidents/,6,69,87
/fire-incidents/,7,78,95
/fire-incidents/,8,79,100
/fire-incidents/,9,54,62
/fire-incidents/,10,82,95
/fire-incidents/,11,90,105
/fire-incidents/,12,98,121
/fire-stations/,1,16,23
/fire-stations/,2,15,23
/fire-stations/,3,6,6
/fire-stations/,4,8,12
/fire-stations/,5,13,14
/fire-stations/,6,13,13
/fire-stations/,7,16,16
/fire-stations/,8,11,17
/fire-stations/,9,10,10
/fire-stations/,10,17,23
/fire-stations/,11,30,42
/fire-stations/,12,21,24
/general-plan-land-use/,1,11,13
/general-plan-land-use/,2,10,11
/general-plan-land-use/,3,12,17
/general-plan-land-use/,4,14,16
/general-plan-land-use/,5,4,4
/general-plan-land-use/,6,28,32
/general-plan-land-use/,7,18,22
/general-plan-land-use/,8,24,29
/general-plan-land-use/,9,21,23
/general-plan-land-use/,10,20,26
/general-plan-land-use/,11,19,22
/general-plan-land-use/,12,17,23
/get-it-done-311/,1,32,42
/get-it-done-311/,2,41,51
/get-it-done-311/,3,25,40
/get-it-done-311/,4,47,81
/get-it-done-311/,5,44,79
/get-it-done-311/,6,71,95
/get-it-done-311/,7,107,149
/get-it-done-311/,8,163,226
/get-it-done-311/,9,134,160
/get-it-done-311/,10,148,187
/get-it-done-311/,11,167,248
/get-it-done-311/,12,137,184
/gid-72-hour-violation/,11,7,10
/gid-72-hour-violation/,12,6,7
/gid-abandoned-vehicle/,1,4,4
/gid-abandoned-vehicle/,2,4,4
/gid-abandoned-vehicle/,3,3,3
/gid-abandoned-vehicle/,4,16,19
/gid-abandoned-vehicle/,5,6,6
/gid-abandoned-vehicle/,6,12,16
/gid-abandoned-vehicle/,7,13,13
/gid-abandoned-vehicle/,8,21,33
/gid-abandoned-vehicle/,9,8,8
/gid-abandoned-vehicle/,10,12,12
/gid-abandoned-vehicle/,11,4,4
/gid-abandoned-vehicle/,12,2,2
/gid-graffiti-removal/,11,11,14
/gid-graffiti-removal/,12,8,8
/gid-graffiti/,1,4,5
/gid-graffiti/,2,10,12
/gid-graffiti/,3,5,5
/gid-graffiti/,4,3,3
/gid-graffiti/,5,6,8
/gid-graffiti/,6,11,12
/gid-graffiti/,7,17,20
/gid-graffiti/,8,5,5
/gid-graffiti/,9,7,7
/gid-graffiti/,10,13,21
/gid-graffiti/,11,7,11
/gid-graffiti/,12,5,5
/gid-illegal-dumping/,1,1,1
/gid-illegal-dumping/,2,2,2
/gid-illegal-dumping/,3,4,7
/gid-illegal-dumping/,4,5,6
/gid-illegal-dumping/,5,3,3
